id,points,rebounds,assists,steals,blocks,game_score,triple_doubles,player_id
3127,26,13,2,3,3,22.7,0,3140
3128,37,27,8,4,4,6.3,0,3141
3129,55,34,14,7,11,42.5,21,3142
3130,51,9,20,5,2,40.1,0,3143
3131,31,17,6,6,3,26.4,0,3144
3132,50,22,13,7,6,46.0,1,3145
3133,24,12,6,4,3,19.5,0,3146
3134,1,1,,,,,0,3147
3135,29,,,,,,0,3148
3136,25,6,3,4,2,17.1,0,3149
3137,27,22,4,5,4,24.8,0,3150
3138,11,8,4,1,1,9.8,0,3151
3139,7,3,6,,,,0,3152
3140,19,17,4,4,3,19.6,0,3153
3141,12,7,3,,,,0,3154
3142,21,14,5,3,3,20.7,0,3155
3143,47,19,13,8,7,37.2,12,3156
3144,36,18,9,6,2,13.2,0,3157
3145,22,15,7,2,2,9.9,0,3158
3146,16,8,3,3,1,13.5,0,3159
3147,14,5,7,4,1,10.3,0,3160
3148,19,5,3,3,2,13.1,0,3161
3149,54,11,19,9,2,42.3,1,3162
3150,27,23,10,6,6,29.5,1,3163
3151,25,11,8,4,3,22.0,0,3164
3152,41,21,11,6,5,37.6,5,3165
3153,6,2,2,1,2,6.4,0,3166
3154,27,12,17,5,1,,0,3167
3155,21,17,4,4,4,23.9,0,3168
3156,43,13,8,4,3,34.1,0,3169
3157,28,7,8,2,3,22.9,0,3170
3158,20,6,3,1,1,11.9,0,3171
3159,49,15,17,5,3,41.3,2,3172
3160,15,4,5,2,10.2,,0,3173
3161,45,11,15,8,2,36.4,1,3174
3162,19,13,2,,,,0,3175
3163,28,15,4,5,5,28.0,0,3176
3164,14,9,4,,,,0,3177
3165,3,1,1,1.6,,,0,3178
3166,2,2,3,1,4.4,,0,3179
3167,11,19,1,2,3,14.2,0,3180
3168,22,13,5,5,4,20.4,0,3181
3169,14,18,1,,,,0,3182
3170,22,14,5,3,3,22.8,0,3183
3171,11,11,3,3,3,14.4,0,3184
3172,24,19,5,5,5,25.1,0,3185
3173,56,25,8,5,7,45.0,0,3186
3174,15,12,3,2,2,15.4,0,3187
3175,4,4,1,1,4.3,,0,3188
3176,28,11,12,5,2,27.2,0,3189
3177,33,9,6,6,2,23.7,0,3190
3178,8,5,1,1,6.6,,0,3191
3179,16,6,5,2,3,15.1,0,3192
3180,2,2,1.3,,,,0,3193
3181,4,3,2,1,4.4,,0,3194
3182,29,17,5,4,3,30.9,0,3195
3183,37,14,9,4,3,29.7,0,3196
3184,17,4,7,4,2,15.9,0,3197
3185,11,8,3,1,8.4,,0,3198
3186,19,16,1,,,,0,3199
3187,10,7,3,,,,0,3200
3188,40,8,8,4,2,27.0,0,3201
3189,29,24,8,3,6,32.8,0,3202
3190,12,5,7,4,1,11.9,0,3203
3191,25,5,9,3,1,21.3,0,3204
3192,20,22,6,3,4,18.4,0,3205
3193,39,12,13,7,2,17.9,0,3206
3194,23,13,4,3,4,17.0,0,3207
3195,14,7,2,3,2,13.0,0,3208
3196,54,13,13,6,2,44.3,3,3209
3197,30,13,7,8,4,30.7,0,3210
3198,4,4,3,,,,0,3211
3199,7,7,3,,,,0,3212
3200,3,1,0.8,,,,0,3213
3201,11,8,4,2,2,4.2,0,3214
3202,12,6,2,5,2,9.0,0,3215
3203,30,12,3,4,3,33.6,0,3216
3204,31,10,15,9,4,29.1,1,3217
3205,2,2,1,1,0.1,,0,3218
3206,38,8,10,6,2,31.2,0,3219
3207,31,10,4,3,3,21.4,0,3220
3208,18,16,4,2,1,15.5,0,3221
3209,28,20,6,6,6,26.3,0,3222
3210,21,17,5,3,5,21.8,0,3223
3211,14,6,8,,,,0,3224
3212,18,18,4,4,8,24.0,0,3225
3213,19,11,3,3,1,16.3,0,3226
3214,35,8,8,3,3,27.8,0,3227
3215,33,7,6,,,,0,3228
3216,2,1,-0.4,,,,0,3229
3217,20,10,6,,,,0,3230
3218,41,17,2,,,,0,3231
3219,17,7,8,3,1,,0,3232
3220,35,14,14,5,2,34.5,1,3233
3221,9,1,1,1,6.3,,0,3234
3222,4,3,1,1,1,3.9,0,3235
3223,31,22,6,5,6,28.7,0,3236
3224,21,16,6,5,5,21.9,0,3237
3225,36,8,6,4,2,32.5,0,3238
3226,14,3,1,2,1,,0,3239
3227,26,12,7,3,3,24.3,0,3240
3228,45,13,18,6,2,44.0,5,3241
3229,10,6,2,1,2,6.0,0,3242
3230,28,14,12,6,4,25.8,4,3243
3231,21,12,12,5,1,18.2,0,3244
3232,50,15,12,8,4,43.0,1,3245
3233,23,14,8,6,3,21.8,0,3246
3234,36,15,8,5,2,31.9,0,3247
3235,36,20,5,5,3,28.6,0,3248
3236,35,13,8,6,3,29.1,0,3249
3237,36,12,12,6,4,36.2,1,3250
3238,13,7,2,,,,0,3251
3239,2,1,1.6,,,,0,3252
3240,3,2,,,,,0,3253
3241,7,4,1,1,1,8.4,0,3254
3242,26,16,4,3,2,22.1,0,3255
3243,26,16,6,4,4,20.1,0,3256
3244,55,22,15,5,7,50.4,35,3257
3245,7,4,1,2,2,6.4,0,3258
3246,27,10,5,3,2,20.4,0,3259
3247,62,22,11,6,4,50.6,2,3260
3248,37,16,11,3,3,29.8,0,3261
3249,32,10,15,7,2,29.7,0,3262
3250,13,16,3,3,8,19.4,0,3263
3251,22,12,7,4,3,17.9,0,3264
3252,36,14,6,7,4,35.6,0,3265
3253,4,1,1,1,0.4,,0,3266
3254,14,14,2,3,2,13.1,0,3267
3255,10,7,,,,,0,3268
3256,6,6,4,3,2,8.4,0,3269
3257,55,9,23,6,3,36.3,0,3270
3258,22,8,11,5,1,23.9,0,3271
3259,22,18,5,2,5,3.6,0,3272
3260,60,12,16,8,3,47.8,4,3273
3261,40,15,11,6,4,34.5,1,3274
3262,49,24,8,,,,0,3275
3263,17,5,3,2,3,8.7,0,3276
3264,35,7,14,4,2,29.3,0,3277
3265,7,7,1,,,,0,3278
3266,14,4,4,2,1,10.6,0,3279
3267,26,1,7,,,,0,3280
3268,35,12,16,7,4,34.0,0,3281
3269,17,13,3,3,4,16.2,0,3282
3270,22,6,5,4,15.9,,0,3283
3271,12,10,1,,,,0,3284
3272,18,5,7,,,,0,3285
3273,24,8,4,2.4,,,0,3286
3274,30,9,14,4,2,27.2,0,3287
3275,24,15,6,4,5,22.2,0,3288
3276,13,3,5,,,,0,3289
3277,18,6,4,1,1,14.8,0,3290
3278,24,23,4,4,5,23.8,0,3291
3279,21,9,9,4,2,20.4,0,3292
3280,21,16,7,4,5,20.7,0,3293
3281,4,,,,,,0,3294
3282,14,7,3,,,,0,3295
3283,36,8,16,5,2,31.6,0,3296
3284,33,13,17,1,,,0,3297
3285,9,,,,,,0,3298
3286,36,12,7,7,4,30.5,0,3299
3287,35,9,14,5,2,30.2,0,3300
3288,8,5,2,2,1,6.5,0,3301
3289,33,22,6,5,4,25.2,0,3302
3290,27,3,1,,,,0,3303
3291,6,2,1,1,1,5.7,0,3304
3292,25,20,10,4,3,22.1,0,3305
3293,28,17,7,4,5,22.5,0,3306
3294,43,8,11,2,1,19.8,0,3307
3295,16,5,8,2,2,12.5,0,3308
3296,24,21,9,4,5,16.5,0,3309
3297,2,1,1,1.0,,,0,3310
3298,18,17,6,4,4,18.0,0,3311
3299,35,21,8,4,5,36.7,0,3312
3300,33,15,7,4,4,31.8,0,3313
3301,13,14,1,2,3,14.6,0,3314
3303,6,5,1,5,4.2,,0,3316
3304,24,11,5,2,3,18.9,0,3317
3305,6,5,2,1,1,5.3,0,3318
3306,15,,,,,,0,3319
3307,28,11,6,3,1,21.4,0,3320
3308,16,5,2,,,,0,3321
3309,33,9,13,,,,0,3322
3310,16,11,3,2,3,15.7,0,3323
3311,35,11,19,6,2,34.8,3,3324
3312,32,18,4,3,5,30.4,0,3325
3313,2,-1.1,,,,,0,3326
3314,20,10,7,4,3,11.4,0,3327
3315,35,21,6,4,6,32.4,0,3328
3316,41,17,9,4,7,34.3,0,3329
3317,12,8,5,2,1,11.8,0,3330
3318,8,4,2,1,2,5.9,0,3331
3319,2,5,3,,,,0,3332
3320,-1.7,,,,,,0,3333
3321,2,1,1,1.0,,,0,3334
3322,,,,,,,0,3335
3323,13,8,8,3,2,11.3,0,3336
3324,41,21,12,5,7,35.0,1,3337
3325,17,5,2,3,2,13.3,0,3338
3326,15,7,9,3,3,13.4,0,3339
3327,22,16,4,4,4,20.4,0,3340
3328,2,2,1,3.7,,,0,3341
3329,38,17,15,5,3,37.1,9,3342
3330,33,16,17,6,4,28.4,8,3343
3331,38,20,10,7,3,34.0,0,3344
3332,13,,,,,,0,3345
3333,32,18,6,3,6,28.8,0,3346
