id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
3140,Alaa Abdelnaby,,256,5.7,3.3,0.3,50.2,0.0,13.0,4.8
3141,Zaid Abdul-Aziz,,505,9.0,8.0,1.2,42.8,72.8,15.1,17.5
3142,Kareem Abdul-Jabbar,,1560,24.6,11.2,3.6,55.9,5.6,24.6,273.4
3143,Mahmoud Abdul-Rauf,,586,14.6,1.9,3.5,44.2,35.4,15.4,25.2
3144,Tariq Abdul-Wahad,,236,7.8,3.3,1.1,41.7,23.7,11.4,3.5
3145,Julius Shareef Abdur-Rahim,,830,18.1,7.5,2.5,47.2,29.7,19.0,71.2
3146,Thomas Craig Abernethy,,319,5.6,3.2,1.2,49.2,0.0,12.9,13.4
3147,Forest Edward Able,,1,0.0,1.0,1.0,0.0,-,-41.5,0.0
3148,John Abramovic Jr.,,56,9.5,-,0.7,23.7,68.6,-,-1.9
3149,Alejandro Abrines,,174,5.3,1.4,0.5,38.7,36.8,8.8,5.0
3150,Precious Ezinna Achiuwa,,189,7.8,5.3,0.9,47.4,32.1,13.8,6.0
3151,Alex Acker,,30,2.7,1.0,0.5,37.0,32.0,8.5,-0.2
3152,Donald D. Ackerman,,28,1.5,0.5,0.8,22.2,53.6,1.0,-0.6
3153,Mark Richard Acres,,375,3.6,4.1,0.5,50.6,53.8,9.0,9.3
3154,Charles R. Acton,,23,3.3,2.0,0.5,39.2,65.5,9.5,0.1
3155,Quincy Jyrome Acy,,337,4.9,3.5,0.6,44.4,35.0,11.2,8.7
3156,Alvan Leigh Adams,"
(Double A, The Oklahoma Kid)
",988,14.1,7.0,4.1,49.8,13.3,18.3,73.5
3157,Donald L. Adams,,523,8.8,5.6,1.9,40.2,0.0,10.7,11.7
3158,George Adams,,215,7.7,4.1,1.5,49.7,23.5,14.0,6.6
3159,Hassan Olawale Adams,,73,2.5,1.2,0.2,53.4,0.0,11.8,0.8
3160,Jaylen Tairique Adams,,41,2.7,1.5,1.6,33.1,32.9,7.0,0.0
3161,Jordan LaVell Adams,"
(Money, Spider Man)
",32,3.2,0.9,0.6,40.2,38.5,13.1,0.4
3162,Michael Adams,,653,14.7,2.9,6.4,41.5,33.2,16.6,46.9
3163,Steven Funaki Adams,"
(Big Kiwi, Kiwi Phenom, Aquaman)
",706,9.2,8.2,1.5,58.7,6.7,17.1,59.3
3164,Rafael Addison,,379,5.8,2.1,0.9,44.9,28.2,10.5,4.9
3165,Edrice Femi Adebayo,,418,14.7,8.5,3.4,55.4,12.9,20.0,42.8
3166,Deng Adel,,19,1.7,1.0,0.3,30.6,26.1,2.7,-0.2
3167,Richard Leonard Adelman,,462,7.7,2.4,3.5,41.5,71.3,11.3,10.0
3168,Jeff Adrien,,153,4.6,4.3,0.7,47.4,0.0,15.0,4.4
