id,season,age,tm,lg,pos,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
2191,1990-91,22,por,nba,pf,5,0,2.6,0.4,1.2,.333,0.0,0.0,"",0.4,1.2,.333,.333,0.0,0.0,"",0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8,3140
2192,1991-92,23,por,nba,pf,8,0,3.1,0.6,1.3,.500,0.0,0.0,"",0.6,1.3,.500,.500,0.3,0.5,.500,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5,3140
2193,1992-93,24,bos,nba,pf,4,4,17.0,2.8,6.0,.458,0.0,0.0,"",2.8,6.0,.458,.458,0.0,0.0,"",0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5,3140
2194,1969-70,23,mil,nba,pf,7,"",11.7,1.6,2.7,.579,,,,,,,,1.1,1.4,.800,"","",3.7,0.6,"","","",0.7,4.3,3141
2195,1974-75,28,hou,nba,c,6,"",11.3,2.0,5.2,.387,,,,,,,,0.3,0.8,.400,1.2,1.7,2.8,0.5,0.2,0.5,"",0.8,4.3,3141
2196,1975-76,29,sea,nba,c,5,"",12.0,2.8,4.0,.700,,,,,,,,1.6,2.2,.727,0.8,3.4,4.2,0.4,0.0,1.0,"",0.4,7.2,3141
2197,1969-70,22,mil,nba,c,10,"",43.5,13.9,24.5,.567,"","","",13.9,24.5,.567,.567,7.4,10.1,.733,"","",16.8,4.1,"","","",2.5,35.2,3142
2198,1970-71,23,mil,nba,c,14,"",41.2,10.9,21.1,.515,"","","",10.9,21.1,.515,.515,4.9,7.2,.673,"","",17.0,2.5,"","","",3.2,26.6,3142
2199,1971-72,24,mil,nba,c,11,"",46.4,12.6,28.9,.437,"","","",12.6,28.9,.437,.437,3.5,4.9,.704,"","",18.2,5.1,"","","",3.2,28.7,3142
2200,1972-73,25,mil,nba,c,6,"",46.0,9.8,23.0,.428,"","","",9.8,23.0,.428,.428,3.2,5.8,.543,"","",16.2,2.8,"","","",4.3,22.8,3142
2201,1973-74,26,mil,nba,c,16,"",47.4,14.0,25.1,.557,"","","",14.0,25.1,.557,.557,4.2,5.7,.736,4.2,11.6,15.8,4.9,1.3,2.4,"",2.6,32.2,3142
2202,1976-77,29,lal,nba,c,11,"",42.5,13.4,22.0,.607,"","","",13.4,22.0,.607,.607,7.9,10.9,.725,4.6,13.1,17.7,4.1,1.7,3.5,"",3.8,34.6,3142
2203,1977-78,30,lal,nba,c,3,"",44.7,12.7,24.3,.521,"","","",12.7,24.3,.521,.521,1.7,3.0,.556,4.7,9.0,13.7,3.7,0.7,4.0,4.7,4.7,27.0,3142
2204,1978-79,31,lal,nba,c,8,"",45.9,11.0,19.0,.579,"","","",11.0,19.0,.579,.579,6.5,7.8,.839,2.3,10.4,12.6,4.8,1.0,4.1,3.6,3.3,28.5,3142
2205,1979-80,32,lal,nba,c,15,"",41.2,13.2,23.1,.572,0.0,0.0,"",13.2,23.1,.572,.572,5.5,7.0,.790,3.4,8.7,12.1,3.1,1.1,3.9,3.7,3.4,31.9,3142
2206,1980-81,33,lal,nba,c,3,"",44.7,10.0,21.7,.462,0.0,0.0,"",10.0,21.7,.462,.462,6.7,9.3,.714,4.3,12.3,16.7,4.0,1.0,2.7,3.7,4.7,26.7,3142
2207,1981-82,34,lal,nba,c,14,"",35.2,8.2,15.8,.520,0.0,0.0,"",8.2,15.8,.520,.520,3.9,6.2,.632,2.4,6.1,8.5,3.6,1.0,3.2,2.9,3.2,20.4,3142
