DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,1995,26423,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,1996,26404,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,1997,25832,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,1998,26756,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,1999,27606,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2000,28308,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2001,28784,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2002,29652,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2003,30143,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2004,31367,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2005,32293,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2006,33491,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2007,34481,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2008,35921,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2009,36773,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2010,37203,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2011,37972,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2012,39118,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2013,40083,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2014,41031,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2015,41991,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2016,42991,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2017,43717,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2018,44828,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2019,45930,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2020,46669,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2021,48347,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,AT,2022,50849,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,1995,27855,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,1996,27875,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,1997,27774,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,1998,28200,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,1999,29691,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,2000,30506,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,2001,31777,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,2002,32985,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,2003,33678,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BE,2004,34447,
